name,line,rest
DynamicCLEpsQ,544,", default=0.05, comment='Layer3: contact-line band cutoff eps<q<1-eps'"
DynamicCLGradMin,545,", default=1e-10, comment='Layer3: minimum |gradPhi| for theta_app'"
DynamicCLCosTol,546,", default=1e-3, comment='Layer3: no candidate force below this |cos_eq-cos_app|'"
DynamicCLCosSign,547,", default=1.0, comment='Layer3: sign convention for cos_app, calibrated by equilibrium 30/90/150'"
DynamicCLForceSign,548,", default=1.0, comment='Layer3: global force direction sign, calibrated by decoupled footprint'"
RTI_Characteristic_Length,551,", default=-999, comment='Use for RTI instability'"
pseudo2D,552,", default=""0"", comment=""if 1, assume model is pseduo2D"""
Radius,554,", default=0.0, comment='Diffuse Sphere Radius'"
CenterX,555,", default=0.0, comment='Diffuse sphere center_x'"
CenterY,556,", default=0.0, comment='Diffuse sphere center_y'"
CenterZ,557,", default=0.0, comment='Diffuse sphere center_z'"
BubbleType,558,",default=1.0, comment='droplet(1.0"
CapInit,559,", default=0.0, comment='Default-off spherical-cap initializer for flat-wall static contact-angle diagnostics'"
CapInitRadius,560,", default=0.0, comment='Spherical cap parent-sphere radius'"
CapInitTheta,561,", default='1.570796', comment='Spherical cap target contact angle in radians; metadata only'"
CapInitCenterX,562,", default=0.0, comment='Spherical cap parent-sphere center X'"
CapInitCenterY,563,", default=0.0, comment='Spherical cap parent-sphere center Y'"
CapInitCenterZ,564,", default=0.0, comment='Spherical cap parent-sphere center Z'"
SphereCapInit,565,", default=0.0, comment='Default-off cap-on-sphere initializer for static curved-wall diagnostics'"
SphereCapInitParentRadius,566,", default=0.0, comment='Sphere-cap liquid parent-sphere radius'"
SphereCapInitCenterX,567,", default=0.0, comment='Sphere-cap liquid parent-sphere center X'"
SphereCapInitCenterY,568,", default=0.0, comment='Sphere-cap liquid parent-sphere center Y'"
SphereCapInitCenterZ,569,", default=0.0, comment='Sphere-cap liquid parent-sphere center Z'"
SphereCapInitSolidCenterX,570,", default=0.0, comment='Sphere-cap solid sphere center X'"
SphereCapInitSolidCenterY,571,", default=0.0, comment='Sphere-cap solid sphere center Y'"
SphereCapInitSolidCenterZ,572,", default=0.0, comment='Sphere-cap solid sphere center Z'"
SphereCapInitSolidRadius,573,", default=0.0, comment='Sphere-cap solid sphere radius'"
CylinderCapInit,574,", default=0.0, comment='Default-off cap-on-cylinder initializer for static curved-wall diagnostics'"
CylinderCapInitParentRadius,575,", default=0.0, comment='Cylinder-cap liquid parent-sphere radius'"
CylinderCapInitCenterX,576,", default=0.0, comment='Cylinder-cap liquid parent-sphere center X'"
CylinderCapInitCenterY,577,", default=0.0, comment='Cylinder-cap liquid parent-sphere center Y'"
CylinderCapInitCenterZ,578,", default=0.0, comment='Cylinder-cap liquid parent-sphere center Z'"
CylinderCapInitSolidCenterX,579,", default=0.0, comment='Cylinder-cap solid cylinder center X'"
CylinderCapInitSolidCenterY,580,", default=0.0, comment='Cylinder-cap solid cylinder center Y'"
CylinderCapInitSolidCenterZ,581,", default=0.0, comment='Cylinder-cap solid cylinder center Z'"
CylinderCapInitSolidRadius,582,", default=0.0, comment='Cylinder-cap solid cylinder radius'"
CylinderCapInitSolidAxis,583,", default=0, comment='Cylinder-cap solid cylinder axis: 0=x, 1=y, 2=z'"
CompositeDropletTailRadius,584,", default=0.0, comment='optional top cylinder tail radius for a volume-conserved sphere-plus-tail droplet'"
CompositeDropletTailLength,585,", default=0.0, comment='optional top cylinder tail length along +Z'"
CompositeDropletBodyRadius,586,", default=0.0, comment='optional solved body radius override; <=0 solves volume-conserved radius from Radius'"
DonutTime,588,", default=0.0, comment='Radius of a Torus - initialised to travel along x-axis'"
Donut_h,589,",   default=0.0, comment='Half donut thickness, i.e. the radius of the cross-section'"
Donut_D,590,",   default=0.0, comment='Dilation factor along the x-axis'"
Donut_x0,591,",  default=0.0, comment='Position along x-axis'"
tau_l,604,", comment='relaxation time (low density fluid"
tau_h,605,", comment='relaxation time (high density fluid"
tauUpdate,606,", default=""1"", comment=""Interpolation: 1-linear, 2- inverse, 3- dyn viscosity"""
Viscosity_l,607,", tau_l='(3*Viscosity_l"
Viscosity_h,608,", tau_h='(3*Viscosity_h"
VelocityX,609,", default=0.0, comment='inlet/outlet/init velocity', zonal=T"
VelocityY,610,", default=0.0, comment='inlet/outlet/init velocity', zonal=T"
VelocityZ,611,", default=0.0, comment='inlet/outlet/init velocity', zonal=T"
DropletOnlyVelocity,612,", default=0.0, comment='0 off, 1 hard droplet mask, 2 smooth phase-fraction weighted droplet velocity'"
DropletVelocityX,613,", default=0.0, comment='droplet-only initial velocity x'"
DropletVelocityY,614,", default=0.0, comment='droplet-only initial velocity y'"
DropletVelocityZ,615,", default=0.0, comment='droplet-only initial velocity z'"
CompositeDropletTailVelocityMode,616,", default=0.0, comment='0 off, 1 smooth uniform tail velocity, 2 smooth axial ramp tail velocity'"
CompositeDropletTailVelocityX,617,", default=0.0, comment='optional extra tail velocity x'"
CompositeDropletTailVelocityY,618,", default=0.0, comment='optional extra tail velocity y'"
CompositeDropletTailVelocityZ,619,", default=0.0, comment='optional extra tail velocity z'"
Pressure,620,", default=0.0, comment='inlet/outlet/init density', zonal=T"
GravitationX,621,", default=0.0, comment='applied (rho"
GravitationY,622,", default=0.0, comment='applied (rho"
GravitationZ,623,", default=0.0, comment='applied (rho"
BuoyancyX,624,", default=0.0, comment='applied (rho_h-rho"
BuoyancyY,625,", default=0.0, comment='applied (rho_h-rho"
BuoyancyZ,626,", default=0.0, comment='applied (rho_h-rho"
xyzTrack,630,", default=1,comment='x<-1, y<-2, z<-3'"
